id,categories,year
0707.3087,cs.IT cs.LG math.IT,2009
0710.0114,q-fin.TR physics.data-an physics.soc-ph,2008
0803.2981,cs.NE cs.AI cs.RO,2010
0803.3539,cs.NE cs.AI,2008
0812.1599,cs.MA cs.AI,2008
0904.0546,cs.AI cs.LG cs.RO,2009
0906.1713,cs.LG cs.AI cs.IT math.IT,2009
0906.5325,cs.LG cs.MM,2013
1004.5229,cs.LG math.ST stat.ML stat.TH,2011
1005.0125,cs.LG cs.AI,2010
1007.0546,cs.AI cs.LG cs.NE math.OC,2013
1007.0548,cs.LG cs.NE,2011
1007.2049,cs.LG,2010
1007.4301,cs.NI,2010
1009.2566,cs.LG,2010
1009.3958,cs.LG stat.ML,2010
1009.5773,cs.LG,2017
1011.1660,cs.AI,2010
1011.5951,cs.AI,2010
1012.1552,cs.AI cs.LG cs.LO,2010
1012.2599,cs.LG,2010
1101.0428,cs.LG cs.AI,2011
1102.5561,cs.AI cs.LG,2011
1103.5818,math.PR,2011
1105.1749,cs.AI cs.RO cs.SE,2015
1106.0221,cs.LG cs.AI cs.NE,2011
1106.0241,cs.AI,2011
1106.0676,cs.LG cs.AI,2011
1106.0681,cs.LG cs.AI,2011
1106.0707,cs.LG cs.AI,2011
1106.0800,stat.ML cs.LG,2015
1106.1770,cs.LG,2011
1106.1796,cs.AI,2011
1107.0048,cs.AI,2011
1107.1322,cs.AI cs.IR cs.LG,2015
1107.4606,cs.LG,2012
1107.5520,cs.LG,2012
1108.3614,cs.AI cs.RO,2011
1109.2147,cs.LG,2011
1110.4946,math.OC,2018
1112.1125,cs.LG,2011
1112.1133,cs.LG cs.RO,2015
1201.0292,cs.LG,2012
1201.6604,cs.AI cs.LG,2012
1202.1558,cs.LG,2012
1202.3717,cs.LG stat.ML,2012
1202.3750,cs.LG stat.ML,2012
1202.5298,cs.SY cs.LG,2012
1202.6386,cs.AI,2012
1203.0203,cs.LG stat.ML,2012
1203.1007,cs.LG cs.AI cs.SY stat.ML,2012
1203.3481,cs.LG cs.AI stat.ML,2012
1203.3497,cs.LG stat.ML,2012
1203.3518,cs.LG cs.AI stat.ML,2012
1205.0047,stat.ML cs.LG cs.MA math.OC math.PR,2015
1205.0986,cs.AI cs.NE,2012
1205.2661,cs.LG,2012
1205.2664,cs.LG,2012
1205.3109,cs.LG cs.AI stat.ML,2015
1206.3281,cs.AI,2012
1206.4613,cs.AI cs.LG stat.ML,2012
1206.4634,cs.LG cs.GR stat.ML,2015
1206.5264,cs.LG stat.ML,2012
1206.6444,cs.LG stat.ML,2012
1206.6449,cs.LG stat.ML,2012
1206.6461,cs.LG stat.ML,2012
1206.6485,cs.LG stat.ML,2012
1207.0852,cs.MA cs.GT,2012
1208.0984,cs.LG,2012
1208.2112,cs.LG,2013
1208.5554,cs.AI,2020
1209.2790,cs.LG,2012
1212.5524,cs.SY cs.LG,2019
1301.0567,cs.LG cs.AI,2013
1301.0601,cs.LG stat.ML,2013
1301.2315,cs.LG cs.AI stat.ML,2013
1301.5488,cs.LG cs.AI stat.ML,2013
1301.5734,math.OC cs.LG math.PR,2013
1301.6690,cs.AI cs.LG,2013
1302.2550,cs.LG,2013
1302.2552,cs.LG,2013
1302.2553,cs.LG,2013
1303.2987,cs.SY math.OC,2013
1303.3163,cs.AI cs.LG stat.ML,2013
1303.3183,cs.SY cs.CE cs.LG q-bio.MN,2015
1303.4638,cs.LG cs.GT,2013
1303.5984,stat.ML cs.LG math.OC,2013
1303.6977,stat.ML cs.LG,2013
1304.1819,cs.AI,2013
1305.1027,stat.ML cs.LG,2013
1305.1809,stat.ML cs.LG,2014
1305.6568,cs.LG cs.RO stat.ML,2013
1306.0940,stat.ML cs.LG,2013
1306.1553,cs.AI,2013
1306.2554,cs.NI cs.IT cs.LG math.IT,2013
1306.2918,cs.GT cs.LG math.PR,2013
1306.6189,cs.LG stat.ML,2013
1307.4847,cs.LG cs.AI cs.SY stat.ML,2016
1308.4828,cs.LG,2013
1309.6821,cs.LG stat.ML,2013
1310.7610,cs.DC cs.AI math.OC,2013
1310.8467,cs.NI cs.LG,2013
1311.2097,cs.LG,2014
1311.2889,cs.LG cs.SI stat.ML,2013
1311.6355,cs.MM cs.IR cs.LG,2013
1312.5602,cs.LG,2013
1401.1549,cs.LG cs.AI cs.SY,2014
1401.3437,cs.AI,2014
1401.3454,cs.LG cs.MA,2014
1401.3871,cs.AI cs.LG,2014
1402.0560,cs.LG cs.AI,2014
1402.4525,cs.AI,2014
1403.2229,q-fin.TR,2016
1403.3741,stat.ML cs.LG,2014
1403.6508,cs.GT cs.AI cs.LG,2019
1403.6822,cs.LG cs.GT,2014
1403.7735,cs.NI cs.IT cs.LG math.IT,2014
1404.2078,cs.LG q-bio.NC,2015
1405.2406,cs.RO,2014
1405.2606,stat.ML cs.LG,2014
1405.2652,cs.LG,2014
1405.5358,cs.AI cs.LG,2014
1405.6757,cs.LG,2014
1406.1853,stat.ML cs.LG,2014
1406.3497,cs.AI cs.LG,2014
1406.3922,cs.LG stat.ML,2014
1407.1291,cs.CE cs.LG math.OC stat.AP,2014
1407.3341,cs.AI cs.LG,2014
1407.5358,cs.LG cs.AI stat.ML,2014
1408.3727,cs.RO cs.LG,2015
1409.4561,cs.MA,2014
1409.8650,cs.IT cs.MM cs.NI math.IT,2016
1410.4604,cs.LG cs.AI,2014
1410.8620,cs.LG cs.AI,2014
1411.5548,cs.NI,2014
1412.0100,cs.CV cs.LG,2014
1412.6451,cs.LG cs.AI cs.RO,2014
1501.01209,cs.GT cs.LG cs.SI stat.ML,2015
1502.06096,cs.NE cs.RO,2015
1504.02125,cs.SY cs.LG,2015
1505.00322,cs.LG cs.RO,2015
1505.00521,cs.LG,2016
1505.01625,cs.NI cs.LG,2015
1505.04150,cs.AI cs.NE,2015
1505.04497,cs.AI,2015
1505.05798,cs.LG,2015
1506.01054,cs.SY,2015
1506.02312,cs.AI cs.LG cs.RO cs.SY,2015
1506.02632,cs.LG math.OC,2016
1506.03379,cs.LG cs.AI,2015
1506.03624,cs.AI,2015
1507.00436,cs.AI cs.LG,2015
1507.00814,cs.AI cs.LG stat.ML,2015
1507.04296,cs.LG cs.AI cs.DC cs.NE,2015
1507.04888,cs.LG,2016
1507.05268,cs.AI,2016
1507.06527,cs.LG,2017
1507.06923,cs.LG,2015
1508.03386,cs.LG cs.CL,2015
1508.05328,cs.MA cs.AI,2016
1509.01186,cs.SY,2015
1509.01549,cs.AI cs.LG cs.NE,2015
1509.01644,cs.AI cs.LG,2015
1509.02413,cs.AI,2015
1509.03005,cs.LG cs.AI cs.NE stat.ML,2015
1509.03044,cs.LG cs.AI cs.SY,2015
1509.04064,cs.AI,2016
1509.06113,cs.LG cs.CV cs.RO,2016
