id,categories,authors_parsed,year
0707.3087,cs.IT cs.LG math.IT,"[['Farias', 'Vivek F.', ''], ['Moallemi', 'Ciamac C.', ''], ['Weissman', 'Tsachy', ''], ['Van Roy', 'Benjamin', '']]",2009
0710.0114,q-fin.TR physics.data-an physics.soc-ph,"[['Piotrowski', 'Edward W.', ''], ['Sladkowski', 'Jan', ''], ['Szczypinska', 'Anna', '']]",2008
0803.2981,cs.NE cs.AI cs.RO,"[['Whitbrook', 'Amanda', ''], ['Aickelin', 'Uwe', ''], ['Garibaldi', 'Jonathan', '']]",2010
0803.3539,cs.NE cs.AI,"[['Fairbank', 'Michael', '']]",2008
0812.1599,cs.MA cs.AI,"[['Ellowitz', 'Jake', '']]",2008
0904.0546,cs.AI cs.LG cs.RO,"[['Kormushev', 'Petar', ''], ['Nomoto', 'Kohei', ''], ['Dong', 'Fangyan', ''], ['Hirota', 'Kaoru', '']]",2009
0906.1713,cs.LG cs.AI cs.IT math.IT,"[['Hutter', 'Marcus', '']]",2009
0906.5325,cs.LG cs.MM,"[['Mastronarde', 'Nicholas', ''], ['van der Schaar', 'Mihaela', '']]",2013
1004.5229,cs.LG math.ST stat.ML stat.TH,"[['Filippi', 'Sarah', '', 'LTCI'], ['Cappé', 'Olivier', '', 'LTCI'], ['Garivier', 'Aurélien', '', 'LTCI']]",2011
1005.0125,cs.LG cs.AI,"[['Di Castro', 'Dotan', ''], ['Mannor', 'Shie', '']]",2010
1007.0546,cs.AI cs.LG cs.NE math.OC,"[['Yahya', 'Keyvan', ''], ['Fard', 'Pouyan Rafiei', '']]",2013
1007.0548,cs.LG cs.NE,"[['Yahya', 'Keyvan', ''], ['Fard', 'Pouyan Rafiei', '']]",2011
1007.2049,cs.LG,"[['Veness', 'Joel', ''], ['Ng', 'Kee Siong', ''], ['Hutter', 'Marcus', ''], ['Silver', 'David', '']]",2010
1007.4301,cs.NI,"[['Izhak-Ratzin', 'Rafit', ''], ['Park', 'Hyunggon', ''], ['van der Schaar', 'Mihaela', '']]",2010
1009.2566,cs.LG,"[['Pandey', 'Punit', ''], ['Pandey', 'Deepshikha', ''], ['Kumar', 'Shishir', '']]",2010
1009.3958,cs.LG stat.ML,"[['Rawlik', 'Konrad', ''], ['Toussaint', 'Marc', ''], ['Vijayakumar', 'Sethu', '']]",2010
1009.5773,cs.LG,"[['Mastronarde', 'Nicholas', ''], ['van der Schaar', 'Mihaela', '']]",2017
1011.1660,cs.AI,"[['Sagha', 'Hesam', ''], ['Shouraki', 'Saeed Bagheri', ''], ['Khasteh', 'Hosein', ''], ['Kiaei', 'Ali Akbar', '']]",2010
1011.5951,cs.AI,"[['Saad', 'Emad', '']]",2010
1012.1552,cs.AI cs.LG cs.LO,"[['Saad', 'Emad', '']]",2010
1012.2599,cs.LG,"[['Brochu', 'Eric', ''], ['Cora', 'Vlad M.', ''], ['de Freitas', 'Nando', '']]",2010
1101.0428,cs.LG cs.AI,"[['Fairbank', 'Michael', ''], ['Alonso', 'Eduardo', '']]",2011
1102.5561,cs.AI cs.LG,"[['Matuz', 'Gabor', ''], ['Lorincz', 'Andras', '']]",2011
1103.5818,math.PR,"[['Hu', 'Yilei', ''], ['Skyrms', 'Brian', ''], ['Tarrès', 'Pierre', '']]",2011
1105.1749,cs.AI cs.RO cs.SE,"[['Hester', 'Todd', ''], ['Quinlan', 'Michael', ''], ['Stone', 'Peter', '']]",2015
1106.0221,cs.LG cs.AI cs.NE,"[['Grefenstette', 'J. J.', ''], ['Moriarty', 'D. E.', ''], ['Schultz', 'A. C.', '']]",2011
1106.0241,cs.AI,"[['Walker', 'M. A.', '']]",2011
1106.0676,cs.LG cs.AI,"[['Kearns', 'M.', ''], ['Litman', 'D.', ''], ['Singh', 'S.', ''], ['Walker', 'M.', '']]",2011
1106.0681,cs.LG cs.AI,"[['Boutilier', 'C.', ''], ['Price', 'B.', '']]",2011
1106.0707,cs.LG cs.AI,"[['He', 'H.', ''], ['Hu', 'D.', ''], ['Xu', 'X.', '']]",2011
1106.0800,stat.ML cs.LG,"[['Hennig', 'Philipp', '']]",2015
1106.1770,cs.LG,"[['Oksanen', 'Jan', ''], ['Lundén', 'Jarmo', ''], ['Koivunen', 'Visa', '']]",2011
1106.1796,cs.AI,"[['Drummond', 'C.', '']]",2011
1107.0048,cs.AI,"[['Celaya', 'E.', ''], ['Porta', 'J. M.', '']]",2011
1107.1322,cs.AI cs.IR cs.LG,"[['Dulac-Arnold', 'Gabriel', ''], ['Denoyer', 'Ludovic', ''], ['Gallinari', 'Patrick', '']]",2015
1107.4606,cs.LG,"[['Fairbank', 'Michael', ''], ['Alonso', 'Eduardo', '']]",2012
1107.5520,cs.LG,"[['Sunehag', 'Peter', ''], ['Hutter', 'Marcus', '']]",2012
1108.3614,cs.AI cs.RO,"[['Nguyen', 'Phuong', ''], ['Sunehag', 'Peter', ''], ['Hutter', 'Marcus', '']]",2011
1109.2147,cs.LG,"[['Geibel', 'P.', ''], ['Wysotzki', 'F.', '']]",2011
1110.4946,math.OC,"[['Krishnamurthy', 'Vikram', ''], ['Abad', 'Felisa Vazquez', '']]",2018
1112.1125,cs.LG,"[['Little', 'Daniel Y.', ''], ['Sommer', 'Friedrich T.', '']]",2011
1112.1133,cs.LG cs.RO,"[['Modayil', 'Joseph', ''], ['White', 'Adam', ''], ['Sutton', 'Richard S.', '']]",2015
1201.0292,cs.LG,"[['Graziano', 'Vincent', ''], ['Gomez', 'Faustino', ''], ['Ring', 'Mark', ''], ['Schmidhuber', 'Juergen', '']]",2012
1201.6604,cs.AI cs.LG,"[['Jung', 'Tobias', ''], ['Stone', 'Peter', '']]",2012
1202.1558,cs.LG,"[['Ratia', 'Héctor', ''], ['Montesano', 'Luis', ''], ['Martinez-Cantin', 'Ruben', '']]",2012
1202.3717,cs.LG stat.ML,"[['Fard', 'Mahdi MIlani', ''], ['Pineau', 'Joelle', ''], ['Szepesvari', 'Csaba', '']]",2012
1202.3750,cs.LG stat.ML,"[['B', 'Ananda Narayanan', ''], ['Ravindran', 'Balaraman', '']]",2012
1202.5298,cs.SY cs.LG,"[['Fonteneau', 'Raphael', ''], ['Ernst', 'Damien', ''], ['Boigelot', 'Bernard', ''], ['Louveaux', 'Quentin', '']]",2012
1202.6386,cs.AI,"[['Mohan', 'Shiwali', ''], ['Laird', 'John E.', '']]",2012
1203.0203,cs.LG stat.ML,"[['Dulac-Arnold', 'Gabriel', ''], ['Denoyer', 'Ludovic', ''], ['Preux', 'Philippe', ''], ['Gallinari', 'Patrick', '']]",2012
1203.1007,cs.LG cs.AI cs.SY stat.ML,"[['Ross', 'Stephane', ''], ['Bagnell', 'J. Andrew', '']]",2012
1203.3481,cs.LG cs.AI stat.ML,"[['Glaubius', 'Robert', ''], ['Tidwell', 'Terry', ''], ['Gill', 'Christopher', ''], ['Smart', 'William D.', '']]",2012
1203.3497,cs.LG stat.ML,"[['Morimura', 'Tetsuro', ''], ['Sugiyama', 'Masashi', ''], ['Kashima', 'Hisashi', ''], ['Hachiya', 'Hirotaka', ''], ['Tanaka', 'Toshiyuki', '']]",2012
1203.3518,cs.LG cs.AI stat.ML,"[['Sorg', 'Jonathan', ''], ['Singh', 'Satinder', ''], ['Lewis', 'Richard L.', '']]",2012
1205.0047,stat.ML cs.LG cs.MA math.OC math.PR,"[['Kar', 'Soummya', ''], ['Moura', ""Jose' M. F."", ''], ['Poor', 'H. Vincent', '']]",2015
1205.0986,cs.AI cs.NE,"[['Böhmer', 'Wendelin', '']]",2012
1205.2661,cs.LG,"[['Bartlett', 'Peter L.', ''], ['Tewari', 'Ambuj', '']]",2012
1205.2664,cs.LG,"[['Asmuth', 'John', ''], ['Li', 'Lihong', ''], ['Littman', 'Michael L.', ''], ['Nouri', 'Ali', ''], ['Wingate', 'David', '']]",2012
1205.3109,cs.LG cs.AI stat.ML,"[['Guez', 'Arthur', ''], ['Silver', 'David', ''], ['Dayan', 'Peter', '']]",2015
1206.3281,cs.AI,"[['Ross', 'Stephane', ''], ['Pineau', 'Joelle', '']]",2012
1206.4613,cs.AI cs.LG stat.ML,"[['Araya', 'Mauricio', '', 'LORIA/INRIA'], ['Buffet', 'Olivier', '', 'LORIA/INRIA'], ['Thomas', 'Vincent', '', 'LORIA/INRIA']]",2012
1206.4634,cs.LG cs.GR stat.ML,"[['Xie', 'Ning', '', 'Tokyo Institute of Technology'], ['Hachiya', 'Hirotaka', '', 'Tokyo\n  Institute of Technology'], ['Sugiyama', 'Masashi', '', 'Tokyo Institute of Technology']]",2015
1206.5264,cs.LG stat.ML,"[['Neu', 'Gergely', ''], ['Szepesvari', 'Csaba', '']]",2012
1206.6444,cs.LG stat.ML,"[['Pires', 'Bernardo Avila', '', 'University of Alberta'], ['Szepesvari', 'Csaba', '', 'University of Alberta']]",2012
1206.6449,cs.LG stat.ML,"[['Wang', 'Yi', '', 'NUS'], ['Won', 'Kok Sung', '', 'NUS'], ['Hsu', 'David', '', 'NUS'], ['Lee', 'Wee Sun', '', 'NUS']]",2012
1206.6461,cs.LG stat.ML,"[['Azar', 'Mohammad Gheshlaghi', '', 'Radboud University'], ['Munos', 'Remi', '', 'INRIA\n  Lille'], ['Kappen', 'Bert', '', 'Radboud University']]",2012
1206.6485,cs.LG stat.ML,"[['Painter-Wakefield', 'Christopher', '', 'Duke University'], ['Parr', 'Ronald', '', 'Duke\n  University']]",2012
1207.0852,cs.MA cs.GT,"[['Lee', 'Ritchie', ''], ['Wolpert', 'David H.', ''], ['Bono', 'James', ''], ['Backhaus', 'Scott', ''], ['Bent', 'Russell', ''], ['Tracey', 'Brendan', '']]",2012
1208.0984,cs.LG,"[['Akrour', 'Riad', '', 'INRIA Saclay - Ile de France, LRI'], ['Schoenauer', 'Marc', '', 'INRIA Saclay - Ile de France, LRI'], ['Sebag', 'Michèle', '', 'LRI']]",2012
1208.2112,cs.LG,"[['Qiao', 'Qifeng', ''], ['Beling', 'Peter A.', '']]",2013
1208.5554,cs.AI,"[['Czibula', 'Gabriela', ''], ['Crisan', 'Gloria Cerasela', ''], ['Pintea', 'Camelia-M.', ''], ['Czibula', 'Istvan-Gergely', '']]",2020
1209.2790,cs.LG,"[['Chen', 'Xianfu', ''], ['Zhang', 'Honggang', ''], ['Chen', 'Tao', ''], ['Lasanen', 'Mika', '']]",2012
1212.5524,cs.SY cs.LG,"[['Sprangers', 'Olivier', ''], ['Lopes', 'Gabriel A. D.', ''], ['Babuska', 'Robert', '']]",2019
1301.0567,cs.LG cs.AI,"[['Finney', 'Sarah', ''], ['Gardiol', 'Natalia', ''], ['Kaelbling', 'Leslie Pack', ''], ['Oates', 'Tim', '']]",2013
1301.0601,cs.LG stat.ML,"[['Shelton', 'Christian R.', '']]",2013
1301.2315,cs.LG cs.AI stat.ML,"[['Weaver', 'Lex', ''], ['Tao', 'Nigel', '']]",2013
1301.5488,cs.LG cs.AI stat.ML,"[['Melo', 'Francisco', ''], ['Lopes', 'Manuel', '']]",2013
1301.5734,math.OC cs.LG math.PR,"[['Laslier', 'Benoit', ''], ['Laslier', 'Jean-Francois', '']]",2013
1301.6690,cs.AI cs.LG,"[['Dearden', 'Richard', ''], ['Friedman', 'Nir', ''], ['Andre', 'David', '']]",2013
1302.2550,cs.LG,"[['Ortner', 'Ronald', ''], ['Ryabko', 'Daniil', '']]",2013
1302.2552,cs.LG,"[['Maillard', 'Odalric-Ambrym', ''], ['Munos', 'Rémi', ''], ['Ryabko', 'Daniil', '']]",2013
1302.2553,cs.LG,"[['Maillard', 'Odalric-Ambrym', ''], ['Nguyen', 'Phuong', ''], ['Ortner', 'Ronald', ''], ['Ryabko', 'Daniil', '']]",2013
1303.2987,cs.SY math.OC,"[['Sootla', 'Aivar', ''], ['Strelkowa', 'Natalja', ''], ['Ernst', 'Damien', ''], ['Barahona', 'Mauricio', ''], ['Stan', 'Guy-Bart', '']]",2013
1303.3163,cs.AI cs.LG stat.ML,"[['Kawaguchi', 'Kenji', ''], ['Araya', 'Mauricio', '']]",2013
1303.3183,cs.SY cs.CE cs.LG q-bio.MN,"[['Sootla', 'Aivar', ''], ['Strelkowa', 'Natalja', ''], ['Ernst', 'Damien', ''], ['Barahona', 'Mauricio', ''], ['Stan', 'Guy-Bart', '']]",2015
1303.4638,cs.LG cs.GT,"[['Chen', 'Xianfu', ''], ['Zhang', 'Honggang', ''], ['Chen', 'Tao', ''], ['Lasanen', 'Mika', ''], ['Palicot', 'Jacques', '']]",2013
1303.5984,stat.ML cs.LG math.OC,"[['Ibrahimi', 'Morteza', ''], ['Javanmard', 'Adel', ''], ['Van Roy', 'Benjamin', '']]",2013
1303.6977,stat.ML cs.LG,"[['Dimitrakakis', 'Christos', ''], ['Tziortziotis', 'Nikolaos', '']]",2013
1304.1819,cs.AI,"[['Lison', 'Pierre', '']]",2013
1305.1027,stat.ML cs.LG,"[['Azar', 'Mohammad Gheshlaghi', ''], ['Lazaric', 'Alessandro', ''], ['Brunskill', 'Emma', '']]",2013
1305.1809,stat.ML cs.LG,"[['Tziortziotis', 'Nikolaos', ''], ['Dimitrakakis', 'Christos', ''], ['Blekas', 'Konstantinos', '']]",2014
1305.6568,cs.LG cs.RO stat.ML,"[['Carvalho', 'Arthur', ''], ['Oliveira', 'Renato', '']]",2013
1306.0940,stat.ML cs.LG,"[['Osband', 'Ian', ''], ['Russo', 'Daniel', ''], ['Van Roy', 'Benjamin', '']]",2013
1306.1553,cs.AI,"[['Rodionov', 'Sergey', ''], ['Potapov', 'Alexey', ''], ['Vinogradov', 'Yurii', '']]",2013
1306.2554,cs.NI cs.IT cs.LG math.IT,"[['Combes', 'Richard', ''], ['Bouloumi', 'Ilham El', ''], ['Senecal', 'Stephane', ''], ['Altman', 'Zwi', '']]",2013
1306.2918,cs.GT cs.LG math.PR,"[['Bravo', 'Mario', '', 'ISCI'], ['Faure', 'Mathieu', '', 'AMSE']]",2013
1306.6189,cs.LG stat.ML,"[['Tamar', 'Aviv', ''], ['Xu', 'Huan', ''], ['Mannor', 'Shie', '']]",2013
1307.4847,cs.LG cs.AI cs.SY stat.ML,"[['Wen', 'Zheng', ''], ['Van Roy', 'Benjamin', '']]",2016
1308.4828,cs.LG,"[['Lattimore', 'Tor', ''], ['Hutter', 'Marcus', ''], ['Sunehag', 'Peter', '']]",2013
1309.6821,cs.LG stat.ML,"[['Brunskill', 'Emma', ''], ['Li', 'Lihong', '']]",2013
1310.7610,cs.DC cs.AI math.OC,"[['Mathkar', 'Adwaitvedant S.', ''], ['Borkar', 'Vivek S.', '']]",2013
1310.8467,cs.NI cs.LG,"[['Rao', 'G. Srinivas', ''], ['Ramana', 'A. V.', '']]",2013
1311.2097,cs.LG,"[['Shen', 'Yun', ''], ['Tobia', 'Michael J.', ''], ['Sommer', 'Tobias', ''], ['Obermayer', 'Klaus', '']]",2014
1311.2889,cs.LG cs.SI stat.ML,"[['Borkar', 'Vivek S.', ''], ['Mathkar', 'Adwaitvedant S.', '']]",2013
1311.6355,cs.MM cs.IR cs.LG,"[['Wang', 'Xinxi', ''], ['Wang', 'Yi', ''], ['Hsu', 'David', ''], ['Wang', 'Ye', '']]",2013
